模型,Actor,Blendshape MAE,Blendshape RMSE,Head Pose MAE,Head Pose RMSE,Correlation
base_audio,Actor_01,0.197980,0.207523,0.330547,0.707170,0.0052
base_audio,,0.018144,0.024939,0.622977,0.9994ls83,0.1301
base_video,Actor_01,0.213541,0.221668,0.637285,0.999547,0.0361
base_video,,0.137162,0.143071,0.626491,0.999724,0.3555
dual_fusion,Actor_01,0.211550,0.219602,0.022349,0.033796,-0.0010
dual_fusion,,0.052098,0.054397,0.004090,0.005908,0.4220
diffusion,Actor_01,0.702380,0.849082,0.022911,0.034291,0.0232
diffusion,,0.920885,1.139239,0.021715,0.032830,0.0134
e2e_loop,Actor_01,0.054303,0.069196,0.022269,0.032878,0.0036
e2e_loop,,0.001758,0.006591,0.004277,0.006226,0.9418
